DATE;spread;share_prices;EXPINF10YR;DFF;cpi
2007-10-25;1.16;92.00669903225807;2.399409912903226;4.86;0.5081457040607343
2007-10-26;1.14;91.87574774193548;2.3972163967741937;4.8;0.5204051445294268
2007-10-29;1.14;91.48289387096774;2.3906358483870966;4.84;0.5571834659355039
2007-10-30;1.14;91.35194258064516;2.3884423322580646;4.78;0.5694429064041964
2007-10-31;1.14;91.22099129032259;2.386248816129032;4.6;0.5817023468728887
2007-11-01;1.17;91.09004;2.3840553;4.59;0.5939617873415811
2007-11-02;1.19;91.11645800000001;2.37615488;4.28;0.5719268506647024
2007-11-05;1.14;91.195712;2.35245362;4.29;0.5058220406340661
2007-11-06;1.15;91.22213;2.3445532;4.22;0.4837871039571874
2007-11-07;1.23;91.248548;2.33665278;4.39;0.4617521672803086
2007-11-08;1.27;91.274966;2.32875236;4.58;0.4397172306034299
2007-11-09;1.29;91.301384;2.32085194;4.49;0.4176822939265511
2007-11-13;1.27;91.407056;2.28925026;4.61;0.32954254721903614
2007-11-14;1.24;91.433474;2.28134984;4.6;0.30750761054215736
2007-11-15;1.28;91.459892;2.27344942;4.54;0.28547267386527864
2007-11-16;1.31;91.48631;2.265549;4.51;0.26343773718839986
2007-11-19;1.34;91.56556400000001;2.24184774;4.51;0.19733292715776363
2007-11-20;1.36;91.591982;2.23394732;4.51;0.17529799048088487
2007-11-21;1.40;91.61840000000001;2.2260469;4.5;0.15326305380400612
2007-11-23;1.36;91.67123600000001;2.2102460600000002;4.56;0.10919318045024864
2007-11-26;1.38;91.75049;2.1865448;4.62;0.04308837041961239
2007-11-27;1.33;91.776908;2.17864438;4.39;0.021053433742733642
2007-11-28;1.31;91.803326;2.1707439600000002;4.53;-0.0009815029341451072
2007-11-29;1.35;91.829744;2.16284354;4.55;-0.023016439611023856
2007-11-30;1.37;91.856162;2.15494312;4.66;-0.04505137628790261
2007-12-03;1.40;91.4979864516129;2.148824848387097;4.52;-0.030689928434120092
2007-12-04;1.39;91.30568967741935;2.1497159225806453;4.5;-0.012491736168789437
2007-12-05;1.40;91.11339290322582;2.1506069967741936;4.31;0.005706456096541218
2007-12-06;1.42;90.92109612903226;2.151498070967742;4.49;0.023904648361871873
2007-12-07;1.42;90.72879935483871;2.1523891451612904;4.41;0.04210284062720253
2007-12-10;1.42;90.15190903225806;2.1550623677419356;4.46;0.09669741742319449
2007-12-11;1.48;89.95961225806452;2.155953441935484;4.29;0.11489560968852515
2007-12-12;1.46;89.76731548387097;2.1568445161290324;4.28;0.1330938019538558
2007-12-13;1.41;89.57501870967742;2.1577355903225808;4.3;0.15129199421918646
